Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Distance,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
0,MERCEDES-BENZ,Vaneo,17,Universal,No,LPG,1.9,170000.0,4,Tiptronic,Front,04,Left wheel,Silver,4,7840
0,TOYOTA,Camry Se,3,Sedan,Yes,Petrol,2.5,25000.0,4,Tiptronic,Front,04,Left wheel,Blue,12,56450
639,VOLKSWAGEN,Jetta,7,Universal,Yes,Diesel,2.0,113214.0,4,Automatic,Front,04,Left wheel,Grey,12,1490
836,TOYOTA,Tacoma,9,Sedan,Yes,Petrol,2.7,394069.0,4,Automatic,Rear,04,Left wheel,Black,12,627
1053,MERCEDES-BENZ,E 350,7,Sedan,Yes,Diesel,3.5,149486.0,6,Automatic,4x4,04,Left wheel,Silver,12,314
0,HONDA,Cr-v,19,Jeep,No,Petrol,2.4,260000.0,4,Automatic,4x4,04,Left wheel,Silver,6,13172
0,NISSAN,Patrol Y60,31,Jeep,No,Diesel,2.8,222222.0,4,Manual,Rear,04,Left wheel,Black,0,19757
917,AUDI,A7,8,Hatchback,Yes,Petrol,3.0,301707.0,6,Automatic,4x4,04,Left wheel,Grey,0,4704
751,HYUNDAI,Sonata,8,Sedan,Yes,Petrol,2.4,175827.0,4,Automatic,Front,04,Left wheel,Black,12,706
1055,MERCEDES-BENZ,E 350,8,Sedan,Yes,Diesel,3.5,107800.0,6,Automatic,Rear,04,Left wheel,Grey,12,5802
777,TOYOTA,Camry,7,Sedan,No,Petrol,2.5,115200.0,4,Automatic,Front,04,Left wheel,Silver,8,25716
642,CHEVROLET,Orlando,9,Jeep,Yes,LPG,2.0,132036.0,4,Automatic,Front,04,Left wheel,White,4,14426
0,TOYOTA,RAV 4,20,Jeep,No,Petrol,2.0,91000.0,4,Automatic,4x4,02,Right-hand drive,Silver,4,10820
1172,FORD,Explorer,10,Jeep,Yes,Petrol,3.5,129177.0,4,Automatic,Front,04,Left wheel,White,4,45436
893,HYUNDAI,I30,13,Hatchback,No,Diesel,1.6,201000.0,4,Manual,Front,04,Left wheel,Black,8,11917
765,HYUNDAI,Santa FE,6,Jeep,Yes,Diesel,2.0,185811.0,4,Automatic,Front,04,Left wheel,Black,4,41281
0,NISSAN,Altima,23,Sedan,No,Petrol,2.4,358400.0,4,Manual,Front,04,Left wheel,Brown,2,4391
1872,PORSCHE,Cayenne,3,Sedan,Yes,Petrol,3.6,28968.0,6,Automatic,4x4,04,Left wheel,White,12,3058
0,ALFA ROMEO,147,20,Coupe,Yes,Petrol,1.8,240000.0,4,Manual,Front,02,Left wheel,Black,4,3700
0,SUZUKI,Grand Vitara,13,Jeep,No,Petrol,1.6,98000.0,4,Automatic,4x4,02,Left wheel,Black,12,15681
645,LEXUS,CT 200h,10,Hatchback,Yes,Hybrid,1.8,122302.0,4,Automatic,Front,04,Left wheel,Black,0,6586
0,TOYOTA,Prius,14,Hatchback,No,Hybrid,1.5,140000.0,4,Automatic,Front,04,Left wheel,Beige,6,12544
